ticket_id,source_id,source_type,category,priority,title,description,technical_details,confidence_score,created_date,status,additional_data,bug_severity,reproduction_steps,bug_priority,quality_score,quality_issues,review_status,feature_impact,feature_complexity,user_benefit
TICKET-REV001,REV001,app_store_review,Bug,High,Fix: Application crash issue,App crashes when I try to sync my data with Google Drive. Happens every single time after the latest update. Super frustrating!,No technical details found,100.0,2025-09-26T10:32:52.289695,Open,"{""review_id"": ""REV001"", ""platform"": ""Google Play"", ""rating"": 1, ""user_name"": ""user_tech123"", ""date"": ""2024-01-20"", ""app_version"": ""3.2.1"", ""source_file"": ""app_store_reviews.csv""}",High,No steps provided,High,100,[],approved,,,
TICKET-REV002,REV002,app_store_review,Bug,High,Fix: Login authentication problem,Can't login since the update yesterday. Keep getting 'authentication failed' error even though my password is correct.,No technical details found,100.0,2025-09-26T10:32:52.299327,Open,"{""review_id"": ""REV002"", ""platform"": ""App Store"", ""rating"": 2, ""user_name"": ""mobile_user456"", ""date"": ""2024-01-19"", ""app_version"": ""3.2.1"", ""source_file"": ""app_store_reviews.csv""}",Medium,No steps provided,High,100,[],approved,,,
TICKET-REV003,REV003,app_store_review,Bug,Critical,Fix: Data synchronization issue,Data sync not working properly between my phone and tablet. Lost important notes from last week's meeting.,No technical details found,100.0,2025-09-26T10:32:52.311623,Open,"{""review_id"": ""REV003"", ""platform"": ""Google Play"", ""rating"": 1, ""user_name"": ""productivity_pro"", ""date"": ""2024-01-18"", ""app_version"": ""3.2.0"", ""source_file"": ""app_store_reviews.csv""}",Low,No steps provided,Critical,100,[],approved,,,
TICKET-REV004,REV004,app_store_review,Bug,High,Fix: Application crash issue,App crashes when I open the settings menu. Tried reinstalling but same issue persists. iPhone 14 Pro Max.,Device: iphone,100.0,2025-09-26T10:32:52.323040,Open,"{""review_id"": ""REV004"", ""platform"": ""App Store"", ""rating"": 1, ""user_name"": ""sarah_j_dev"", ""date"": ""2024-01-17"", ""app_version"": ""3.2.1"", ""source_file"": ""app_store_reviews.csv""}",High,No steps provided,High,100,[],approved,,,
TICKET-REV005,REV005,app_store_review,Bug,High,Fix: Login authentication problem,Login issue - app won't accept my fingerprint anymore after update. Have to type password every time now.,No technical details found,100.0,2025-09-26T10:32:52.331778,Open,"{""review_id"": ""REV005"", ""platform"": ""Google Play"", ""rating"": 2, ""user_name"": ""fingerprint_fan"", ""date"": ""2024-01-16"", ""app_version"": ""3.2.1"", ""source_file"": ""app_store_reviews.csv""}",Medium,No steps provided,High,100,[],approved,,,
TICKET-REV006,REV006,app_store_review,Bug,High,Fix: Application crash issue,Constant crashes when trying to export documents. Makes the app completely unusable for my work needs.,No technical details found,50.0,2025-09-26T10:32:52.340579,Open,"{""review_id"": ""REV006"", ""platform"": ""App Store"", ""rating"": 1, ""user_name"": ""business_user_99"", ""date"": ""2024-01-15"", ""app_version"": ""3.1.9"", ""source_file"": ""app_store_reviews.csv""}",High,No steps provided,High,100,[],approved,,,
TICKET-REV007,REV007,app_store_review,Bug,High,Fix: Application bug report,Export feature broken - app freezes every time I try to save files to PDF. Samsung Galaxy S23 Ultra.,Device: samsung; Device: galaxy,100.0,2025-09-26T10:32:52.348916,Open,"{""review_id"": ""REV007"", ""platform"": ""Google Play"", ""rating"": 2, ""user_name"": ""android_expert"", ""date"": ""2024-01-14"", ""app_version"": ""3.2.0"", ""source_file"": ""app_store_reviews.csv""}",Medium,No steps provided,High,100,[],approved,,,
TICKET-REV008,REV008,app_store_review,Bug,High,Fix: Application crash issue,App won't start after iOS update. Just shows loading screen then crashes. Please fix immediately!,No technical details found,100.0,2025-09-26T10:32:52.358168,Open,"{""review_id"": ""REV008"", ""platform"": ""App Store"", ""rating"": 1, ""user_name"": ""ios_power_user"", ""date"": ""2024-01-13"", ""app_version"": ""3.1.8"", ""source_file"": ""app_store_reviews.csv""}",High,No steps provided,High,100,[],approved,,,
TICKET-REV009,REV009,app_store_review,Bug,High,Fix: Application bug report,Search function completely broken. Can't find any of my saved documents. This used to work perfectly.,No technical details found,50.0,2025-09-26T10:32:52.366288,Open,"{""review_id"": ""REV009"", ""platform"": ""Google Play"", ""rating"": 2, ""user_name"": ""search_master"", ""date"": ""2024-01-12"", ""app_version"": ""3.2.1"", ""source_file"": ""app_store_reviews.csv""}",Medium,No steps provided,High,100,[],approved,,,
TICKET-REV010,REV010,app_store_review,Bug,High,Fix: Application bug report,Backup feature not working. Lost 3 months of data when I got new phone. Customer support unhelpful.,No technical details found,100.0,2025-09-26T10:32:52.374826,Open,"{""review_id"": ""REV010"", ""platform"": ""App Store"", ""rating"": 1, ""user_name"": ""data_keeper"", ""date"": ""2024-01-11"", ""app_version"": ""3.1.9"", ""source_file"": ""app_store_reviews.csv""}",Low,No steps provided,High,100,[],approved,,,
